,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2002-06-26 00:00:00+05:30,21.405586615389883,21.405586615389883,20.589401907575255,20.72800064086914,14936,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2002-06-27 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2002-06-28 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2002-07-01 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2002-07-02 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2002-07-03 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2002-07-04 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2002-07-05 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2002-07-08 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2002-07-09 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2002-07-10 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2002-07-11 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2002-07-12 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2002-07-15 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2002-07-16 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2002-07-17 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2002-07-18 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2002-07-19 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2002-07-22 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2002-07-23 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2002-07-24 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2002-07-25 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2002-07-26 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2002-07-29 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2002-07-30 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2002-07-31 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2002-08-01 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2002-08-02 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2002-08-05 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2002-08-06 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2002-08-07 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2002-08-08 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,32.0,2002-08-09 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,33.0,2002-08-12 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,34.0,2002-08-13 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,35.0,2002-08-14 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,36.0,2002-08-15 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,37.0,2002-08-16 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,38.0,2002-08-19 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,39.0,2002-08-20 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,40.0,2002-08-21 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,41.0,2002-08-22 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,42.0,2002-08-23 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
43,43.0,43.0,43.0,43.0,43.0,43.0,2002-08-26 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
44,44.0,44.0,44.0,44.0,44.0,44.0,2002-08-27 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
45,45.0,45.0,45.0,45.0,45.0,45.0,2002-08-28 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
46,46.0,46.0,46.0,46.0,46.0,46.0,2002-08-29 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
47,47.0,47.0,47.0,47.0,47.0,47.0,2002-08-30 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
48,48.0,48.0,48.0,48.0,48.0,48.0,2002-09-02 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
49,49.0,49.0,49.0,49.0,49.0,49.0,2002-09-03 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
50,50.0,50.0,50.0,50.0,50.0,50.0,2002-09-04 00:00:00+05:30,20.72800064086914,20.72800064086914,20.72800064086914,20.72800064086914,0,0.0,0.0
